Date,Listing price,Discounted price,Tax amount,Total customer payment,Seller transfer amount,Product name,Product slug,Locale,Status,Customer email,Coupon code
10/9/2025,"$0.00","$0.00","$0.00","$0.00","$0.00","Archive",0dfg-archive,en-US,Succeeded,,
10/9/2025,"$0.00","$0.00","$0.00","$0.00","$0.00","Archive",0dfg-archive,en-US,Succeeded,,
10/9/2025,"$0.00","$0.00","$0.00","$0.00","$0.00","Money Tracker",0dfg-moneytracker,en-US,Succeeded,,
10/8/2025,"$0.00","$0.00","$0.00","$0.00","$0.00","Age calculator",age-calculator,en-US,Succeeded,,
10/8/2025,"$0.00","$0.00","$0.00","$0.00","$0.00","Tasks Manager",0dfg-tasks,en-US,Succeeded,,
10/8/2025,"$0.00","$0.00","$0.00","$0.00","$0.00","Tasks Manager",0dfg-tasks,en-US,Succeeded,,
10/8/2025,"$0.00","$0.00","$0.00","$0.00","$0.00","Tasks Manager",0dfg-tasks,en-US,Succeeded,,
10/8/2025,"$0.00","$0.00","$0.00","$0.00","$0.00","Archive",0dfg-archive,en-US,Succeeded,,
10/8/2025,"$0.00","$0.00","$0.00","$0.00","$0.00","Notebooks",0dfg-notebooks,en-US,Succeeded,,
10/8/2025,"$0.00","$0.00","$0.00","$0.00","$0.00","Study tasks",study-tasks,en-US,Succeeded,,
10/8/2025,"$0.00","$0.00","$0.00","$0.00","$0.00","Tasks Manager",0dfg-tasks,en-US,Succeeded,,
10/8/2025,"$0.00","$0.00","$0.00","$0.00","$0.00","Notebooks",0dfg-notebooks,en-US,Succeeded,,
10/8/2025,"$0.00","$0.00","$0.00","$0.00","$0.00","Money Tracker",0dfg-moneytracker,en-US,Succeeded,,
10/8/2025,"$0.00","$0.00","$0.00","$0.00","$0.00","Bad Habits Tracker",0dfg-bad-habits,en-US,Succeeded,,
10/7/2025,"$0.00","$0.00","$0.00","$0.00","$0.00","Sleep Tracker",0dfg-sleeptracker,en-US,Succeeded,,
10/7/2025,"$0.00","$0.00","$0.00","$0.00","$0.00","Tasks Manager",0dfg-tasks,en-US,Succeeded,,
10/7/2025,"$0.00","$0.00","$0.00","$0.00","$0.00","Tasks Manager",0dfg-tasks,en-US,Succeeded,,
10/7/2025,"$0.00","$0.00","$0.00","$0.00","$0.00","Notebooks",0dfg-notebooks,en-US,Succeeded,,
10/7/2025,"$0.00","$0.00","$0.00","$0.00","$0.00","Study tasks",study-tasks,en-US,Succeeded,,
10/7/2025,"$0.00","$0.00","$0.00","$0.00","$0.00","Tasks Manager",0dfg-tasks,en-US,Succeeded,,
10/7/2025,"$0.00","$0.00","$0.00","$0.00","$0.00","Archive",0dfg-archive,en-US,Succeeded,,
10/7/2025,"$0.00","$0.00","$0.00","$0.00","$0.00","Archive",0dfg-archive,en-US,Succeeded,,
10/7/2025,"$0.00","$0.00","$0.00","$0.00","$0.00","Notebooks",0dfg-notebooks,en-US,Succeeded,,
10/7/2025,"$0.00","$0.00","$0.00","$0.00","$0.00","Money Tracker",0dfg-moneytracker,en-US,Succeeded,,
10/7/2025,"$0.00","$0.00","$0.00","$0.00","$0.00","Archive",0dfg-archive,en-US,Succeeded,,
10/7/2025,"$0.00","$0.00","$0.00","$0.00","$0.00","Archive",0dfg-archive,en-US,Succeeded,,
10/6/2025,"$0.00","$0.00","$0.00","$0.00","$0.00","Notebooks",0dfg-notebooks,en-US,Succeeded,,
10/6/2025,"$0.00","$0.00","$0.00","$0.00","$0.00","Notebooks",0dfg-notebooks,en-US,Succeeded,,
10/6/2025,"$0.00","$0.00","$0.00","$0.00","$0.00","Money Tracker",0dfg-moneytracker,en-US,Succeeded,,
10/6/2025,"$0.00","$0.00","$0.00","$0.00","$0.00","Tasks Manager",0dfg-tasks,en-US,Succeeded,,
10/6/2025,"$0.00","$0.00","$0.00","$0.00","$0.00","Notebooks",0dfg-notebooks,en-US,Succeeded,,
10/6/2025,"$0.00","$0.00","$0.00","$0.00","$0.00","Tasks Manager",0dfg-tasks,en-US,Succeeded,,
10/6/2025,"$0.00","$0.00","$0.00","$0.00","$0.00","Resource Vault",0dfg-resourcevault,en-US,Succeeded,,
10/6/2025,"$0.00","$0.00","$0.00","$0.00","$0.00","Notebooks",0dfg-notebooks,en-US,Succeeded,,
10/6/2025,"$0.00","$0.00","$0.00","$0.00","$0.00","Tasks Manager",0dfg-tasks,en-US,Succeeded,,
10/6/2025,"$0.00","$0.00","$0.00","$0.00","$0.00","Notebooks",0dfg-notebooks,en-US,Succeeded,,
10/6/2025,"$0.00","$0.00","$0.00","$0.00","$0.00","Tasks Manager",0dfg-tasks,en-US,Succeeded,,
10/6/2025,"$0.00","$0.00","$0.00","$0.00","$0.00","Tasks Manager",0dfg-tasks,en-US,Succeeded,,
10/6/2025,"$0.00","$0.00","$0.00","$0.00","$0.00","Notebooks",0dfg-notebooks,en-US,Succeeded,,
10/6/2025,"$0.00","$0.00","$0.00","$0.00","$0.00","Notebooks",0dfg-notebooks,en-US,Succeeded,,
10/6/2025,"$0.00","$0.00","$0.00","$0.00","$0.00","Weekly planner",0dfg-weeklyplanner,en-US,Succeeded,,
10/6/2025,"$0.00","$0.00","$0.00","$0.00","$0.00","Money Tracker",0dfg-moneytracker,en-US,Succeeded,,
10/6/2025,"$0.00","$0.00","$0.00","$0.00","$0.00","Weekly planner",0dfg-weeklyplanner,en-US,Succeeded,,
10/6/2025,"$0.00","$0.00","$0.00","$0.00","$0.00","Sleep Tracker",0dfg-sleeptracker,en-US,Succeeded,,
10/6/2025,"$0.00","$0.00","$0.00","$0.00","$0.00","Study tasks",study-tasks,en-US,Succeeded,,
10/6/2025,"$0.00","$0.00","$0.00","$0.00","$0.00","Tasks Manager",0dfg-tasks,en-US,Succeeded,,
10/6/2025,"$0.00","$0.00","$0.00","$0.00","$0.00","Study tasks",study-tasks,en-US,Succeeded,,
10/5/2025,"$0.00","$0.00","$0.00","$0.00","$0.00","Money Tracker",0dfg-moneytracker,en-US,Succeeded,,
10/5/2025,"$0.00","$0.00","$0.00","$0.00","$0.00","Resource Vault",0dfg-resourcevault,en-US,Succeeded,,
10/5/2025,"$0.00","$0.00","$0.00","$0.00","$0.00","Study tasks",study-tasks,en-US,Succeeded,,
10/5/2025,"$0.00","$0.00","$0.00","$0.00","$0.00","Notebooks",0dfg-notebooks,en-US,Succeeded,,
10/5/2025,"$0.00","$0.00","$0.00","$0.00","$0.00","Notebooks",0dfg-notebooks,en-US,Succeeded,,
10/5/2025,"$0.00","$0.00","$0.00","$0.00","$0.00","Archive",0dfg-archive,en-US,Succeeded,,
10/5/2025,"$0.00","$0.00","$0.00","$0.00","$0.00","Tasks Manager",0dfg-tasks,en-US,Succeeded,,
10/5/2025,"$0.00","$0.00","$0.00","$0.00","$0.00","Weekly planner",0dfg-weeklyplanner,en-US,Succeeded,,
10/5/2025,"$0.00","$0.00","$0.00","$0.00","$0.00","Money Tracker",0dfg-moneytracker,en-US,Succeeded,,
10/5/2025,"$0.00","$0.00","$0.00","$0.00","$0.00","Money Tracker",0dfg-moneytracker,en-US,Succeeded,,
10/5/2025,"$0.00","$0.00","$0.00","$0.00","$0.00","Tasks Manager",0dfg-tasks,en-US,Succeeded,,
10/5/2025,"$0.00","$0.00","$0.00","$0.00","$0.00","Notebooks",0dfg-notebooks,en-US,Succeeded,,
10/5/2025,"$0.00","$0.00","$0.00","$0.00","$0.00","Archive",0dfg-archive,en-US,Succeeded,,
10/5/2025,"$0.00","$0.00","$0.00","$0.00","$0.00","Sleep Tracker",0dfg-sleeptracker,en-US,Succeeded,,
10/5/2025,"$0.00","$0.00","$0.00","$0.00","$0.00","Minecraft seeds",minecraft-seeds,en-US,Succeeded,,
10/5/2025,"$0.00","$0.00","$0.00","$0.00","$0.00","Notebooks",0dfg-notebooks,en-US,Succeeded,,
10/5/2025,"$0.00","$0.00","$0.00","$0.00","$0.00","Tasks Manager",0dfg-tasks,en-US,Succeeded,,
10/5/2025,"$0.00","$0.00","$0.00","$0.00","$0.00","Notebooks",0dfg-notebooks,en-US,Succeeded,,
10/5/2025,"$0.00","$0.00","$0.00","$0.00","$0.00","Money Tracker",0dfg-moneytracker,en-US,Succeeded,,
10/4/2025,"$0.00","$0.00","$0.00","$0.00","$0.00","Study tasks",study-tasks,en-US,Succeeded,,
10/4/2025,"$0.00","$0.00","$0.00","$0.00","$0.00","Bad Habits Tracker",0dfg-bad-habits,en-US,Succeeded,,
10/4/2025,"$0.00","$0.00","$0.00","$0.00","$0.00","Archive",0dfg-archive,en-US,Succeeded,,
10/4/2025,"$0.00","$0.00","$0.00","$0.00","$0.00","Templates Manager for Notion",framework-creator-office,en-US,Succeeded,,
10/4/2025,"$0.00","$0.00","$0.00","$0.00","$0.00","Money Tracker",0dfg-moneytracker,en-US,Succeeded,,
10/4/2025,"$0.00","$0.00","$0.00","$0.00","$0.00","Bad Habits Tracker",0dfg-bad-habits,en-US,Succeeded,,
10/4/2025,"$0.00","$0.00","$0.00","$0.00","$0.00","Money Tracker",0dfg-moneytracker,en-US,Succeeded,,
10/4/2025,"$0.00","$0.00","$0.00","$0.00","$0.00","Money Tracker",0dfg-moneytracker,en-US,Succeeded,,
10/4/2025,"$0.00","$0.00","$0.00","$0.00","$0.00","Resource Vault",0dfg-resourcevault,en-US,Succeeded,,
10/4/2025,"$0.00","$0.00","$0.00","$0.00","$0.00","Study tasks",study-tasks,en-US,Succeeded,,
10/3/2025,"$0.00","$0.00","$0.00","$0.00","$0.00","Tasks Manager",0dfg-tasks,en-US,Succeeded,,
10/3/2025,"$0.00","$0.00","$0.00","$0.00","$0.00","Tasks Manager",0dfg-tasks,en-US,Succeeded,,
10/3/2025,"$0.00","$0.00","$0.00","$0.00","$0.00","Tasks Manager",0dfg-tasks,en-US,Succeeded,,
10/3/2025,"$0.00","$0.00","$0.00","$0.00","$0.00","Weekly planner",0dfg-weeklyplanner,en-US,Succeeded,,
10/3/2025,"$0.00","$0.00","$0.00","$0.00","$0.00","Tasks Manager",0dfg-tasks,en-US,Succeeded,,
10/3/2025,"$0.00","$0.00","$0.00","$0.00","$0.00","Tasks Manager",0dfg-tasks,en-US,Succeeded,,
10/3/2025,"$0.00","$0.00","$0.00","$0.00","$0.00","Tasks Manager",0dfg-tasks,en-US,Succeeded,,
10/3/2025,"$0.00","$0.00","$0.00","$0.00","$0.00","Tasks Manager",0dfg-tasks,en-US,Succeeded,,
10/3/2025,"$0.00","$0.00","$0.00","$0.00","$0.00","Study tasks",study-tasks,en-US,Succeeded,,
10/3/2025,"$0.00","$0.00","$0.00","$0.00","$0.00","Money Tracker",0dfg-moneytracker,en-US,Succeeded,,
10/3/2025,"$0.00","$0.00","$0.00","$0.00","$0.00","Money Tracker",0dfg-moneytracker,en-US,Succeeded,,
10/2/2025,"$0.00","$0.00","$0.00","$0.00","$0.00","Tasks Manager",0dfg-tasks,en-US,Succeeded,,
10/2/2025,"$0.00","$0.00","$0.00","$0.00","$0.00","Notebooks",0dfg-notebooks,en-US,Succeeded,,
10/2/2025,"$0.00","$0.00","$0.00","$0.00","$0.00","Notebooks",0dfg-notebooks,en-US,Succeeded,,
10/2/2025,"$0.00","$0.00","$0.00","$0.00","$0.00","Notebooks",0dfg-notebooks,en-US,Succeeded,,
10/2/2025,"$0.00","$0.00","$0.00","$0.00","$0.00","Money Tracker",0dfg-moneytracker,en-US,Succeeded,,
10/2/2025,"$0.00","$0.00","$0.00","$0.00","$0.00","Notebooks",0dfg-notebooks,en-US,Succeeded,,
10/2/2025,"$0.00","$0.00","$0.00","$0.00","$0.00","Money Tracker",0dfg-moneytracker,en-US,Succeeded,,
10/2/2025,"$0.00","$0.00","$0.00","$0.00","$0.00","Archive",0dfg-archive,en-US,Succeeded,,
10/2/2025,"$0.00","$0.00","$0.00","$0.00","$0.00","Study tasks",study-tasks,en-US,Succeeded,,
10/2/2025,"$0.00","$0.00","$0.00","$0.00","$0.00","Notebooks",0dfg-notebooks,en-US,Succeeded,,
10/2/2025,"$0.00","$0.00","$0.00","$0.00","$0.00","Resource Vault",0dfg-resourcevault,en-US,Succeeded,,
10/2/2025,"$0.00","$0.00","$0.00","$0.00","$0.00","Money Tracker",0dfg-moneytracker,en-US,Succeeded,,
10/2/2025,"$0.00","$0.00","$0.00","$0.00","$0.00","Archive",0dfg-archive,en-US,Succeeded,,
10/2/2025,"$0.00","$0.00","$0.00","$0.00","$0.00","Money Tracker",0dfg-moneytracker,en-US,Succeeded,,
10/2/2025,"$0.00","$0.00","$0.00","$0.00","$0.00","Money Tracker",0dfg-moneytracker,en-US,Succeeded,,
10/2/2025,"$0.00","$0.00","$0.00","$0.00","$0.00","Notebooks",0dfg-notebooks,en-US,Succeeded,,
10/2/2025,"$0.00","$0.00","$0.00","$0.00","$0.00","Study tasks",study-tasks,en-US,Succeeded,,
10/2/2025,"$0.00","$0.00","$0.00","$0.00","$0.00","Notebooks",0dfg-notebooks,en-US,Succeeded,,
10/2/2025,"$0.00","$0.00","$0.00","$0.00","$0.00","Resource Vault",0dfg-resourcevault,en-US,Succeeded,,
10/2/2025,"$0.00","$0.00","$0.00","$0.00","$0.00","Study tasks",study-tasks,en-US,Succeeded,,
10/2/2025,"$0.00","$0.00","$0.00","$0.00","$0.00","Notebooks",0dfg-notebooks,en-US,Succeeded,,
10/2/2025,"$0.00","$0.00","$0.00","$0.00","$0.00","Tasks Manager",0dfg-tasks,en-US,Succeeded,,
10/2/2025,"$0.00","$0.00","$0.00","$0.00","$0.00","Notebooks",0dfg-notebooks,en-US,Succeeded,,
10/2/2025,"$0.00","$0.00","$0.00","$0.00","$0.00","Notebooks",0dfg-notebooks,en-US,Succeeded,,
10/1/2025,"$0.00","$0.00","$0.00","$0.00","$0.00","Archive",0dfg-archive,en-US,Succeeded,,
10/1/2025,"$0.00","$0.00","$0.00","$0.00","$0.00","Money Tracker",0dfg-moneytracker,en-US,Succeeded,,
10/1/2025,"$0.00","$0.00","$0.00","$0.00","$0.00","Tasks Manager",0dfg-tasks,en-US,Succeeded,,
10/1/2025,"$0.00","$0.00","$0.00","$0.00","$0.00","Tasks Manager",0dfg-tasks,en-US,Succeeded,,
10/1/2025,"$0.00","$0.00","$0.00","$0.00","$0.00","Notebooks",0dfg-notebooks,en-US,Succeeded,,
10/1/2025,"$0.00","$0.00","$0.00","$0.00","$0.00","Tasks Manager",0dfg-tasks,en-US,Succeeded,,
10/1/2025,"$0.00","$0.00","$0.00","$0.00","$0.00","Money Tracker",0dfg-moneytracker,en-US,Succeeded,,
10/1/2025,"$0.00","$0.00","$0.00","$0.00","$0.00","Study tasks",study-tasks,en-US,Succeeded,,
10/1/2025,"$0.00","$0.00","$0.00","$0.00","$0.00","Money Tracker",0dfg-moneytracker,en-US,Succeeded,,
10/1/2025,"$0.00","$0.00","$0.00","$0.00","$0.00","Notebooks",0dfg-notebooks,en-US,Succeeded,,
10/1/2025,"$0.00","$0.00","$0.00","$0.00","$0.00","Money Tracker",0dfg-moneytracker,en-US,Succeeded,,
10/1/2025,"$0.00","$0.00","$0.00","$0.00","$0.00","Resource Vault",0dfg-resourcevault,en-US,Succeeded,,
10/1/2025,"$0.00","$0.00","$0.00","$0.00","$0.00","Bad Habits Tracker",0dfg-bad-habits,en-US,Succeeded,,
10/1/2025,"$0.00","$0.00","$0.00","$0.00","$0.00","Tasks Manager",0dfg-tasks,en-US,Succeeded,,
10/1/2025,"$0.00","$0.00","$0.00","$0.00","$0.00","Money Tracker",0dfg-moneytracker,en-US,Succeeded,,
10/1/2025,"$0.00","$0.00","$0.00","$0.00","$0.00","Money Tracker",0dfg-moneytracker,en-US,Succeeded,,
10/1/2025,"$0.00","$0.00","$0.00","$0.00","$0.00","Notebooks",0dfg-notebooks,en-US,Succeeded,,
10/1/2025,"$0.00","$0.00","$0.00","$0.00","$0.00","Notebooks",0dfg-notebooks,en-US,Succeeded,,
10/1/2025,"$0.00","$0.00","$0.00","$0.00","$0.00","Age calculator",age-calculator,en-US,Succeeded,,
10/1/2025,"$0.00","$0.00","$0.00","$0.00","$0.00","Notebooks",0dfg-notebooks,en-US,Succeeded,,
10/1/2025,"$0.00","$0.00","$0.00","$0.00","$0.00","Money Tracker",0dfg-moneytracker,en-US,Succeeded,,
10/1/2025,"$0.00","$0.00","$0.00","$0.00","$0.00","Money Tracker",0dfg-moneytracker,en-US,Succeeded,,
10/1/2025,"$0.00","$0.00","$0.00","$0.00","$0.00","Resource Vault",0dfg-resourcevault,en-US,Succeeded,,
10/1/2025,"$0.00","$0.00","$0.00","$0.00","$0.00","Notebooks",0dfg-notebooks,en-US,Succeeded,,
10/1/2025,"$0.00","$0.00","$0.00","$0.00","$0.00","Archive",0dfg-archive,en-US,Succeeded,,
10/1/2025,"$0.00","$0.00","$0.00","$0.00","$0.00","Notebooks",0dfg-notebooks,en-US,Succeeded,,
10/1/2025,"$0.00","$0.00","$0.00","$0.00","$0.00","Notebooks",0dfg-notebooks,en-US,Succeeded,,
10/1/2025,"$0.00","$0.00","$0.00","$0.00","$0.00","Money Tracker",0dfg-moneytracker,en-US,Succeeded,,
10/1/2025,"$0.00","$0.00","$0.00","$0.00","$0.00","Tasks Manager",0dfg-tasks,en-US,Succeeded,,
10/1/2025,"$0.00","$0.00","$0.00","$0.00","$0.00","Study tasks",study-tasks,en-US,Succeeded,,
10/1/2025,"$0.00","$0.00","$0.00","$0.00","$0.00","Study tasks",study-tasks,en-US,Succeeded,,
9/30/2025,"$0.00","$0.00","$0.00","$0.00","$0.00","Bad Habits Tracker",0dfg-bad-habits,en-US,Succeeded,,
9/30/2025,"$0.00","$0.00","$0.00","$0.00","$0.00","Tasks Manager",0dfg-tasks,en-US,Succeeded,,
9/30/2025,"$0.00","$0.00","$0.00","$0.00","$0.00","Notebooks",0dfg-notebooks,en-US,Succeeded,,
9/30/2025,"$0.00","$0.00","$0.00","$0.00","$0.00","Tasks Manager",0dfg-tasks,en-US,Succeeded,,
9/30/2025,"$0.00","$0.00","$0.00","$0.00","$0.00","Weekly planner",0dfg-weeklyplanner,en-US,Succeeded,,
9/30/2025,"$0.00","$0.00","$0.00","$0.00","$0.00","Tasks Manager",0dfg-tasks,en-US,Succeeded,,
9/30/2025,"$0.00","$0.00","$0.00","$0.00","$0.00","Tasks Manager",0dfg-tasks,en-US,Succeeded,,
9/30/2025,"$0.00","$0.00","$0.00","$0.00","$0.00","Notebooks",0dfg-notebooks,en-US,Succeeded,,
9/30/2025,"$0.00","$0.00","$0.00","$0.00","$0.00","Money Tracker",0dfg-moneytracker,en-US,Succeeded,,
9/30/2025,"$0.00","$0.00","$0.00","$0.00","$0.00","Study tasks",study-tasks,en-US,Succeeded,,
9/30/2025,"$0.00","$0.00","$0.00","$0.00","$0.00","Resource Vault",0dfg-resourcevault,en-US,Succeeded,,
9/30/2025,"$0.00","$0.00","$0.00","$0.00","$0.00","Tasks Manager",0dfg-tasks,en-US,Succeeded,,
9/30/2025,"$0.00","$0.00","$0.00","$0.00","$0.00","Money Tracker",0dfg-moneytracker,en-US,Succeeded,,
9/30/2025,"$0.00","$0.00","$0.00","$0.00","$0.00","Weekly planner",0dfg-weeklyplanner,en-US,Succeeded,,
9/30/2025,"$0.00","$0.00","$0.00","$0.00","$0.00","Notebooks",0dfg-notebooks,en-US,Succeeded,,
9/30/2025,"$0.00","$0.00","$0.00","$0.00","$0.00","Bad Habits Tracker",0dfg-bad-habits,en-US,Succeeded,,
9/30/2025,"$0.00","$0.00","$0.00","$0.00","$0.00","Sleep Tracker",0dfg-sleeptracker,en-US,Succeeded,,
9/30/2025,"$0.00","$0.00","$0.00","$0.00","$0.00","Archive",0dfg-archive,en-US,Succeeded,,
9/30/2025,"$0.00","$0.00","$0.00","$0.00","$0.00","Tasks Manager",0dfg-tasks,en-US,Succeeded,,
9/30/2025,"$0.00","$0.00","$0.00","$0.00","$0.00","Age calculator",age-calculator,en-US,Succeeded,,
9/30/2025,"$0.00","$0.00","$0.00","$0.00","$0.00","Notebooks",0dfg-notebooks,en-US,Succeeded,,
9/30/2025,"$0.00","$0.00","$0.00","$0.00","$0.00","Sleep Tracker",0dfg-sleeptracker,en-US,Succeeded,,
9/30/2025,"$0.00","$0.00","$0.00","$0.00","$0.00","Notebooks",0dfg-notebooks,en-US,Succeeded,,
9/30/2025,"$0.00","$0.00","$0.00","$0.00","$0.00","Archive",0dfg-archive,en-US,Succeeded,,
9/30/2025,"$0.00","$0.00","$0.00","$0.00","$0.00","Tasks Manager",0dfg-tasks,en-US,Succeeded,,
9/30/2025,"$0.00","$0.00","$0.00","$0.00","$0.00","Tasks Manager",0dfg-tasks,en-US,Succeeded,,
9/30/2025,"$0.00","$0.00","$0.00","$0.00","$0.00","Tasks Manager",0dfg-tasks,en-US,Succeeded,,
9/29/2025,"$0.00","$0.00","$0.00","$0.00","$0.00","Notebooks",0dfg-notebooks,en-US,Succeeded,,
9/29/2025,"$0.00","$0.00","$0.00","$0.00","$0.00","Notebooks",0dfg-notebooks,en-US,Succeeded,,
9/29/2025,"$0.00","$0.00","$0.00","$0.00","$0.00","Tasks Manager",0dfg-tasks,en-US,Succeeded,,
9/29/2025,"$0.00","$0.00","$0.00","$0.00","$0.00","Money Tracker",0dfg-moneytracker,en-US,Succeeded,,
9/29/2025,"$0.00","$0.00","$0.00","$0.00","$0.00","Notebooks",0dfg-notebooks,en-US,Succeeded,,
9/29/2025,"$0.00","$0.00","$0.00","$0.00","$0.00","Tasks Manager",0dfg-tasks,en-US,Succeeded,,
9/29/2025,"$0.00","$0.00","$0.00","$0.00","$0.00","Notebooks",0dfg-notebooks,en-US,Succeeded,,
9/29/2025,"$0.00","$0.00","$0.00","$0.00","$0.00","Notebooks",0dfg-notebooks,en-US,Succeeded,,
9/29/2025,"$0.00","$0.00","$0.00","$0.00","$0.00","Money Tracker",0dfg-moneytracker,en-US,Succeeded,,
9/29/2025,"$0.00","$0.00","$0.00","$0.00","$0.00","Resource Vault",0dfg-resourcevault,en-US,Succeeded,,
9/29/2025,"$0.00","$0.00","$0.00","$0.00","$0.00","Money Tracker",0dfg-moneytracker,en-US,Succeeded,,
9/29/2025,"$0.00","$0.00","$0.00","$0.00","$0.00","Bad Habits Tracker",0dfg-bad-habits,en-US,Succeeded,,
9/29/2025,"$0.00","$0.00","$0.00","$0.00","$0.00","Money Tracker",0dfg-moneytracker,en-US,Succeeded,,
9/29/2025,"$0.00","$0.00","$0.00","$0.00","$0.00","Notebooks",0dfg-notebooks,en-US,Succeeded,,
9/29/2025,"$0.00","$0.00","$0.00","$0.00","$0.00","Money Tracker",0dfg-moneytracker,en-US,Succeeded,,
9/29/2025,"$0.00","$0.00","$0.00","$0.00","$0.00","Tasks Manager",0dfg-tasks,en-US,Succeeded,,
9/29/2025,"$0.00","$0.00","$0.00","$0.00","$0.00","Tasks Manager",0dfg-tasks,en-US,Succeeded,,
9/29/2025,"$0.00","$0.00","$0.00","$0.00","$0.00","Archive",0dfg-archive,en-US,Succeeded,,
9/29/2025,"$0.00","$0.00","$0.00","$0.00","$0.00","Archive",0dfg-archive,en-US,Succeeded,,
9/29/2025,"$0.00","$0.00","$0.00","$0.00","$0.00","Archive",0dfg-archive,en-US,Succeeded,,
9/29/2025,"$0.00","$0.00","$0.00","$0.00","$0.00","Archive",0dfg-archive,en-US,Succeeded,,
9/29/2025,"$0.00","$0.00","$0.00","$0.00","$0.00","Sleep Tracker",0dfg-sleeptracker,en-US,Succeeded,,
9/29/2025,"$0.00","$0.00","$0.00","$0.00","$0.00","Tasks Manager",0dfg-tasks,en-US,Succeeded,,
9/29/2025,"$0.00","$0.00","$0.00","$0.00","$0.00","Resource Vault",0dfg-resourcevault,en-US,Succeeded,,
9/28/2025,"$0.00","$0.00","$0.00","$0.00","$0.00","Archive",0dfg-archive,en-US,Succeeded,,
9/28/2025,"$0.00","$0.00","$0.00","$0.00","$0.00","Archive",0dfg-archive,en-US,Succeeded,,
9/28/2025,"$0.00","$0.00","$0.00","$0.00","$0.00","Study tasks",study-tasks,en-US,Succeeded,,
9/28/2025,"$0.00","$0.00","$0.00","$0.00","$0.00","Resource Vault",0dfg-resourcevault,en-US,Succeeded,,
9/28/2025,"$0.00","$0.00","$0.00","$0.00","$0.00","Tasks Manager",0dfg-tasks,en-US,Succeeded,,
9/28/2025,"$0.00","$0.00","$0.00","$0.00","$0.00","Study tasks",study-tasks,en-US,Succeeded,,
9/28/2025,"$0.00","$0.00","$0.00","$0.00","$0.00","Money Tracker",0dfg-moneytracker,en-US,Succeeded,,
9/28/2025,"$0.00","$0.00","$0.00","$0.00","$0.00","Tasks Manager",0dfg-tasks,en-US,Succeeded,,
9/28/2025,"$0.00","$0.00","$0.00","$0.00","$0.00","Money Tracker",0dfg-moneytracker,en-US,Succeeded,,
9/28/2025,"$0.00","$0.00","$0.00","$0.00","$0.00","Resource Vault",0dfg-resourcevault,en-US,Succeeded,,
9/28/2025,"$0.00","$0.00","$0.00","$0.00","$0.00","Resource Vault",0dfg-resourcevault,en-US,Succeeded,,
9/28/2025,"$0.00","$0.00","$0.00","$0.00","$0.00","Money Tracker",0dfg-moneytracker,en-US,Succeeded,,
9/28/2025,"$0.00","$0.00","$0.00","$0.00","$0.00","Notebooks",0dfg-notebooks,en-US,Succeeded,,
9/28/2025,"$0.00","$0.00","$0.00","$0.00","$0.00","Ideas center",ideas-center,en-US,Succeeded,,
9/27/2025,"$0.00","$0.00","$0.00","$0.00","$0.00","Tasks Manager",0dfg-tasks,en-US,Succeeded,,
9/27/2025,"$0.00","$0.00","$0.00","$0.00","$0.00","Tasks Manager",0dfg-tasks,en-US,Succeeded,,
9/27/2025,"$0.00","$0.00","$0.00","$0.00","$0.00","Money Tracker",0dfg-moneytracker,en-US,Succeeded,,
9/27/2025,"$0.00","$0.00","$0.00","$0.00","$0.00","Resource Vault",0dfg-resourcevault,en-US,Succeeded,,
9/27/2025,"$0.00","$0.00","$0.00","$0.00","$0.00","Study tasks",study-tasks,en-US,Succeeded,,
9/27/2025,"$0.00","$0.00","$0.00","$0.00","$0.00","Tasks Manager",0dfg-tasks,en-US,Succeeded,,
9/27/2025,"$0.00","$0.00","$0.00","$0.00","$0.00","Tasks Manager",0dfg-tasks,en-US,Succeeded,,
9/27/2025,"$0.00","$0.00","$0.00","$0.00","$0.00","Notebooks",0dfg-notebooks,en-US,Succeeded,,
9/27/2025,"$0.00","$0.00","$0.00","$0.00","$0.00","Money Tracker",0dfg-moneytracker,en-US,Succeeded,,
9/27/2025,"$0.00","$0.00","$0.00","$0.00","$0.00","Money Tracker",0dfg-moneytracker,en-US,Succeeded,,
9/27/2025,"$0.00","$0.00","$0.00","$0.00","$0.00","Archive",0dfg-archive,en-US,Succeeded,,
9/27/2025,"$0.00","$0.00","$0.00","$0.00","$0.00","Notebooks",0dfg-notebooks,en-US,Succeeded,,
9/27/2025,"$0.00","$0.00","$0.00","$0.00","$0.00","Money Tracker",0dfg-moneytracker,en-US,Succeeded,,
9/27/2025,"$0.00","$0.00","$0.00","$0.00","$0.00","Notebooks",0dfg-notebooks,en-US,Succeeded,,
9/27/2025,"$0.00","$0.00","$0.00","$0.00","$0.00","Notebooks",0dfg-notebooks,en-US,Succeeded,,
9/27/2025,"$0.00","$0.00","$0.00","$0.00","$0.00","Notebooks",0dfg-notebooks,en-US,Succeeded,,
9/27/2025,"$0.00","$0.00","$0.00","$0.00","$0.00","Tasks Manager",0dfg-tasks,en-US,Succeeded,,
9/27/2025,"$0.00","$0.00","$0.00","$0.00","$0.00","Money Tracker",0dfg-moneytracker,en-US,Succeeded,,
9/27/2025,"$0.00","$0.00","$0.00","$0.00","$0.00","Bad Habits Tracker",0dfg-bad-habits,en-US,Succeeded,,
9/27/2025,"$0.00","$0.00","$0.00","$0.00","$0.00","Study tasks",study-tasks,en-US,Succeeded,,
